OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,X,Y
211981726,435,Reston Regional Library,32211,38.962095,-77.358815,368902.1739,143859.4999
211981727,436,New Dominion Pkwy & Fountain Dr,32212,38.960574,-77.356324,369117.4041,143689.8105
211981728,437,Sunset Hills & Old Reston Ave,32213,38.955079,-77.351649,369520.2345,143078.2481
211981729,438,Reston Town Center Transit Station,32214,38.957037,-77.359718,368821.7005,143298.3275
211981730,439,1st & D St SE,31643,38.884916,-77.005965,399482.4634,135230.8757
211981731,440,Reston Station,32215,38.948363,-77.338119,370690.2031,142328.2857
211981732,441,Library St & Freedom Dr,32216,38.959633,-77.358741,368907.5133,143586.172
211981733,442,Sunset Hills Rd & Discovery Square,32217,38.95534,-77.357611,369003.5843,143109.2288
211981734,443,22nd St & Constitution Ave NW,31292,38.892441,-77.048947,395753.6983,136067.3308
211981735,444,61st St & Banks Pl NE,31714,38.891805,-76.913563,407498.7397,135999.1416
211981736,445,Temporary Rd & Old Reston Ave,32218,38.960084,-77.353414,369369.4019,143634.4359
211981737,446,Reston YMCA,32219,38.955314,-77.368416,368067.0397,143110.0668
211981738,447,Sunset Hills Rd & Isaac Newton Square,32220,38.951443,-77.340377,370495.7444,142670.9186
211981739,448,N Lynn St & Fairfax Dr,31917,38.89386,-77.070862,393852.6278,136226.0986
211981740,449,Georgia Ave & Piney Branch Rd NW,31414,38.967505,-77.027976,397575.5502,144399.3161
211981741,450,Greensboro & International Dr,32221,38.923083,-77.227417,380279.3743,139492.2688
211981742,451,Madison & Fairfax St,31918,38.812351,-77.040691,396465.9686,127176.4201
211981743,452,Sligo Ave & Carroll Ln,32058,38.990874,-77.016311,398586.9233,146993.2565
211981744,453,15th & W St NW,31125,38.919086,-77.034502,397007.964,139024.5695
211981745,454,12th St & Pennsylvania Ave SE,31644,38.882489,-76.990121,400857.153,134961.4895
211981746,455,3rd St & Riggs Rd NE,31412,38.957463,-77.002239,399805.9369,143284.1914
211981747,456,Carlin Springs Rd & N Thomas St,31919,38.876695,-77.112982,390196.3054,134324.3317
211981748,457,Towers Crescent Dr & Tysons One Pl,32222,38.915246,-77.220157,380906.8311,138620.7552
211981749,458,6th & K St NE,31645,38.902877,-76.998405,400138.3509,137224.6728
211981750,459,Pooks Hill Rd & Linden Ave,32057,39.014716,-77.107143,390720.9504,149645.2817
211981751,460,Takoma Park Rec Center,32059,38.98265,-76.988311,401012.7742,146080.2499
211981752,461,New Hampshire & Kirklynn Ave,32061,38.988101,-76.988422,401003.0801,146685.3633
211981753,462,Wheaton Metro/Georgia Ave & Reedie Dr,32062,39.038341,-77.051023,395582.6515,152263.7011
211981754,463,Amherst Ave & Elkins St,32063,39.044887,-77.047788,395863.104,152990.2285
211981755,464,Amherst Ave & Prichard Rd,32064,39.035965,-77.048395,395810.0324,151999.8149
211981756,465,Grandview & Blueridge Ave,32065,39.043272,-77.053085,395404.4508,152811.1988
211981757,466,Windham Ln & Amherst Ave,32066,39.032029,-77.04735,395900.2803,151562.8283
211981758,467,North Shore Dr & Village Rd,32223,38.970412,-77.340787,370468.0662,144776.7717
211981759,468,Town Center Pkwy & Sunset Hills Rd,32224,38.955171,-77.363094,368528.2658,143092.3444
211981760,469,3rd & Underwood St NW,31413,38.968834,-77.016258,398591.0791,144546.6017
211981761,470,18th & Monroe St NE,31521,38.93293,-76.979517,401775.9544,140561.0057
211981762,471,7th & E St SW,31294,38.88345,-77.021741,398113.6641,135068.3461
211981763,472,Shady Grove Metro East,32067,39.121327,-77.164969,385734.3593,161487.8106
211981764,473,Potomac & M St NW,31295,38.905368,-77.065149,394349.1497,137503.2092
211981765,474,Columbia & Ontario Rd NW,31296,38.924088,-77.040787,396463.1728,139580.0585
211981766,475,Washington-Lee High School / N Stafford St & Generals Way,31920,38.888282,-77.111066,390364.1257,135610.3726
211981767,476,Westover Library / Washington Blvd & N McKinley Rd,31921,38.886048,-77.142317,387652.4639,135366.1444
211981768,477,Columbia Pike & S Taylor St,31923,38.858524,-77.103728,390997.0028,132306.2646
211981769,478,Columbus Ave & Tribeca St,32068,39.126,-77.1673,385533.7378,162006.9418
211981770,479,Columbus Ave & Gramercy Blvd,32069,39.12333,-77.16486,385744.1866,161710.1528
211981862,43,10th & U St NW,31111,38.9172,-77.0259,397753.8756,138814.961
211981863,44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,398074.9584,139669.6414
